url,description,same_package,source_class_inner,target_class_inner,source_file_is_test,target_file_is_test,source_class_static,target_class_static,source_class_exists,target_class_exists
https://github.com/halo-dev/halo/commit/f61f846a7f571f46e15930e4a0ce952a9c58932b,Move Method public buildParameters(builder Builder) : void from class run.halo.app.core.extension.attachment.endpoint.AttachmentEndpoint.ISearchRequest to public buildParameters(builder Builder) : void from class run.halo.app.core.extension.attachment.endpoint.AttachmentEndpoint.SearchRequest,True,True,True,False,False,False,True,True,True
https://github.com/elastic/elasticsearch/commit/1d525752af4f4c768d3a13604f13e5d3005d284a,Move Method private assertNotSuccess(shardState ShardState) : ShardState from class org.elasticsearch.cluster.SnapshotsInProgress.ShardSnapshotStatus to private assertNotSuccess(shardState ShardState) : ShardState from class org.elasticsearch.cluster.SnapshotsInProgress,True,True,False,False,False,False,False,False,True
https://github.com/elastic/elasticsearch/commit/1d525752af4f4c768d3a13604f13e5d3005d284a,"Move Method public success(nodeId String, shardSnapshotResult ShardSnapshotResult) : ShardSnapshotStatus from class org.elasticsearch.cluster.SnapshotsInProgress.ShardSnapshotStatus to public success(nodeId String, shardSnapshotResult ShardSnapshotResult) : ShardSnapshotStatus from class org.elasticsearch.cluster.SnapshotsInProgress",True,True,False,False,False,False,False,False,True
https://github.com/elastic/elasticsearch/commit/1d525752af4f4c768d3a13604f13e5d3005d284a,Move Method public readFrom(in StreamInput) : ShardSnapshotStatus from class org.elasticsearch.cluster.SnapshotsInProgress.ShardSnapshotStatus to public readFrom(in StreamInput) : ShardSnapshotStatus from class org.elasticsearch.cluster.SnapshotsInProgress,True,True,False,False,False,False,False,False,True
https://github.com/elastic/elasticsearch/commit/1d525752af4f4c768d3a13604f13e5d3005d284a,"Move Method public toPositionMap(part ByRepo) : Map<String,Integer> from class org.elasticsearch.cluster.SnapshotsInProgress.ByRepo to public toPositionMap(part ByRepo) : Map<String,Integer> from class org.elasticsearch.cluster.SnapshotInProgressDiff",True,True,False,False,False,False,False,False,False
https://github.com/elastic/elasticsearch/commit/1d525752af4f4c768d3a13604f13e5d3005d284a,"Move Method public toMapByUUID(part ByRepo) : Map<String,Entry> from class org.elasticsearch.cluster.SnapshotsInProgress.ByRepo to public toMapByUUID(part ByRepo) : Map<String,Entry> from class org.elasticsearch.cluster.SnapshotInProgressDiff",True,True,False,False,False,False,False,False,False
https://github.com/elastic/elasticsearch/commit/5a4f02670e85dcac55ffd2898b297258794248a4,Move Method package parseVersionRanges(rawRanges String) : List<VersionRange> from class org.elasticsearch.test.rest.yaml.section.SkipSection to package parseVersionRanges(rawRanges String) : List<VersionRange> from class org.elasticsearch.test.rest.yaml.section.VersionRange,True,False,False,True,True,False,False,True,False
https://github.com/elastic/elasticsearch/commit/abccea00d11aef2815e48cfadf786b1ae5e50c4e,"Move Method private parseIndexEntry(parser XContentParser, indexToSettings Map<String,Settings>, indexToDefaultSettings Map<String,Settings>) : void from class org.elasticsearch.action.admin.indices.settings.get.GetSettingsResponse to private parseIndexEntry(parser XContentParser, indexToSettings Map<String,Settings>, indexToDefaultSettings Map<String,Settings>) : void from class org.elasticsearch.action.admin.indices.settings.get.GetSettingsResponseTests",True,False,False,False,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/abccea00d11aef2815e48cfadf786b1ae5e50c4e,"Move Method private parseSettingsField(parser XContentParser, currentIndexName String, indexToSettings Map<String,Settings>, indexToDefaultSettings Map<String,Settings>) : void from class org.elasticsearch.action.admin.indices.settings.get.GetSettingsResponse to private parseSettingsField(parser XContentParser, currentIndexName String, indexToSettings Map<String,Settings>, indexToDefaultSettings Map<String,Settings>) : void from class org.elasticsearch.action.admin.indices.settings.get.GetSettingsResponseTests",True,False,False,False,True,False,False,True,True
https://github.com/elastic/elasticsearch/commit/abccea00d11aef2815e48cfadf786b1ae5e50c4e,Move Method public fromXContent(parser XContentParser) : BulkResponse from class org.elasticsearch.action.bulk.BulkResponse to private fromXContent(parser XContentParser) : BulkResponse from class org.elasticsearch.action.bulk.BulkResponseTests,True,False,False,False,True,False,False,True,True
